"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11604","Login_02 Verify login with an invalid username","chromium","2026-06-17","passed","2026-06-17","","Qkart\loginSpec\login.spec.ts","",""
"","8387","TC-030-Product Listing: Banner Image and Title Visibilty","chromium","2026-06-17","passed","2026-06-17","","Qkart\productListing\productlisting.spec.ts","",""
"","11267","Login_08 Verify Product After Logout","chromium","2026-06-17","passed","2026-06-17","","Qkart\loginSpec\login.spec.ts","",""
"","15536","TC 040: Add product to Checkout","chromium","2026-06-17","passed","2026-06-17","","Qkart\cart\cart.spec.ts","",""
"","20334","TC 045: Decrease product quantity in Checkout","chromium","2026-06-17","passed","2026-06-17","","Qkart\cart\cart.spec.ts","",""
"","5401","Login_05 Verify login with a blank password","chromium","2026-06-17","passed","2026-06-17","","Qkart\loginSpec\login.spec.ts","",""
"","23151","Verify search_product","chromium","2026-06-17","passed","2026-06-17","","Qkart\search\search.spec.ts","",""
"","14004","TC 047: Persist items after browser refresh","chromium","2026-06-17","passed","2026-06-17","","Qkart\cart\cart.spec.ts","",""
"","6417","Verify homepage is displayed after clearing search","chromium","2026-06-17","passed","2026-06-17","","Qkart\search\search.spec.ts","",""
"","7340","REG_006 - Verify Username Minimum Length Validation","chromium","2026-06-17","passed","2026-06-17","","Qkart\Registration\registration.spec.ts","",""
"","2741","seed","chromium","2026-06-17","passed","2026-06-17","Test group","seed.spec.ts","",""
"","7611","Login_01 Verify that a user can log in with a valid username and password","chromium","2026-06-17","passed","2026-06-17","","Qkart\loginSpec\login.spec.ts","",""
"","12286","TC-034-Home Page: Product Card Price and Currency Verification","chromium","2026-06-17","passed","2026-06-17","","Qkart\productListing\productlisting.spec.ts","",""
"","15773","TC 043: Add Same Item again","chromium","2026-06-17","passed","2026-06-17","","Qkart\cart\cart.spec.ts","",""
"","13281","REG_001 - Verify Registration with Valid Details","chromium","2026-06-17","passed","2026-06-17","","Qkart\Registration\registration.spec.ts","",""
"","9739","TC-033-Home Page: Product Card Title Display Verification","chromium","2026-06-17","passed","2026-06-17","","Qkart\productListing\productlisting.spec.ts","",""
"","9911","TC_003 Verify that the Privacy Policy link displayed in the footer section of the Home Page opens in a new browser tab and navigates successfully","chromium","2026-06-17","passed","2026-06-17","QKart Footer Links Validation","Qkart\footerTest\footerTest.spec.ts","",""
"","9988","TC-028-Product Listing: Home Page Load and Navigation Verification","chromium","2026-06-17","passed","2026-06-17","","Qkart\productListing\productlisting.spec.ts","",""
"","6390","verify search product with trailing spaces","chromium","2026-06-17","passed","2026-06-17","","Qkart\search\search.spec.ts","",""
"","22930","REG_007 - Verify Password Minimum Length Validation","chromium","2026-06-17","passed","2026-06-17","","Qkart\Registration\registration.spec.ts","",""
"","7349","Verify Products with numbers only","chromium","2026-06-17","passed","2026-06-17","","Qkart\search\search.spec.ts","",""
"","9921","REG_003 - Verify Error Message for Blank Username Field","chromium","2026-06-17","passed","2026-06-17","","Qkart\Registration\registration.spec.ts","",""
"","7491","TC_004 Verify that the About Us link displayed in the footer section of the Home Page opens in a new browser tab and navigates successfully","chromium","2026-06-17","passed","2026-06-17","QKart Footer Links Validation","Qkart\footerTest\footerTest.spec.ts","",""
"","8544","REG_004 - Verify Error Message for Blank Password Field","chromium","2026-06-17","passed","2026-06-17","","Qkart\Registration\registration.spec.ts","",""
"","10536","Login_09 Verify login with leading spaces in username and password","chromium","2026-06-17","passed","2026-06-17","","Qkart\loginSpec\login.spec.ts","",""
"","7719","Login_06 Verify logout functionality","chromium","2026-06-17","passed","2026-06-17","","Qkart\loginSpec\login.spec.ts","",""
"","11645","TC-031-Product Listing: Product cards render in flex-wrap layout without overflow or overlap","chromium","2026-06-17","passed","2026-06-17","","Qkart\productListing\productlisting.spec.ts","",""
"","8261","Login_04 Verify login with a blank username","chromium","2026-06-17","passed","2026-06-17","","Qkart\loginSpec\login.spec.ts","",""
"","15681","REG_002 - Verify Registration with Existing Username","chromium","2026-06-17","passed","2026-06-17","","Qkart\Registration\registration.spec.ts","",""
"","11482","Verify searching-product with special characters","chromium","2026-06-17","passed","2026-06-17","","Qkart\search\search.spec.ts","",""
"","9462","TC-029-Product Listing: User Login with Valid Credentials","chromium","2026-06-17","passed","2026-06-17","","Qkart\productListing\productlisting.spec.ts","",""
"","8710","TC-039-Pagination Forward Arrow Button Navigation","chromium","2026-06-17","passed","2026-06-17","","Qkart\productListing\productlisting.spec.ts","",""
"","13996","TC 042: Increase product quantity","chromium","2026-06-17","passed","2026-06-17","","Qkart\cart\cart.spec.ts","",""
"","10530","TC_005 Verify that the Contact Us link displayed in the footer section of the Home Page opens the Contact Us popup successfully","chromium","2026-06-17","passed","2026-06-17","QKart Footer Links Validation","Qkart\footerTest\footerTest.spec.ts","",""
"","12122","Verify Search Results After Page Refresh","chromium","2026-06-17","passed","2026-06-17","","Qkart\search\search.spec.ts","",""
"","13240","Verify partial search-product","chromium","2026-06-17","passed","2026-06-17","","Qkart\search\search.spec.ts","",""
"","10077","Verify search with long input","chromium","2026-06-17","passed","2026-06-17","","Qkart\search\search.spec.ts","",""
"","23730","Verify invalid searching product","chromium","2026-06-17","passed","2026-06-17","","Qkart\search\search.spec.ts","",""
"","8312","TC_002 Verify QKart logo is visible after login","chromium","2026-06-17","passed","2026-06-17","QKart Footer Links Validation","Qkart\footerTest\footerTest.spec.ts","",""
"","12371","TC_001 Verify successful login and redirection to home page","chromium","2026-06-17","passed","2026-06-17","QKart Footer Links Validation","Qkart\footerTest\footerTest.spec.ts","",""
"","9082","REG_005 - Verify Error Message for All Blank Fields","chromium","2026-06-17","passed","2026-06-17","","Qkart\Registration\registration.spec.ts","",""
